"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Flora","Angiospermas","Rutaceae","Euxylophora paraensis","amarelão; pau amarelo","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Convolvulaceae","Evolvulus chrysotrichos","-","Em Perigo (EN)"
"Flora","Angiospermas","Convolvulaceae","Evolvulus glaziovii","-","Vulnerável (VU)"
"Flora","Angiospermas","Convolvulaceae","Evolvulus kramerioides","-","Vulnerável (VU)"
"Flora","Angiospermas","Convolvulaceae","Evolvulus rariflorus","-","Vulnerável (VU)"
"Flora","Angiospermas","Convolvulaceae","Evolvulus riedelii","-","Em Perigo (EN)"
"Flora","Angiospermas","Convolvulaceae","Evolvulus stellariifolius","-","Em Perigo (EN)"
"Flora","Angiospermas","Chrysobalanaceae","Exellodendron gracile","oiti","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Facheiroa cephaliomelana","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Facheiroa cephaliomelana subsp. estevesii","Facheiro-da-serra, Xique-xique-amarelo","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Facheiroa ulei","Facheiro-preto","Em Perigo (EN)"
"Flora","Angiospermas","Rubiaceae","Faramea bahiensis","-","Vulnerável (VU)"
"Flora","Angiospermas","Rubiaceae","Faramea paratiensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Fernseea bocainensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Fernseea itatiaiae","-","Em Perigo (EN)"
"Flora","Angiospermas","Moraceae","Ficus cyclophylla","-","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Glossoscolecidae","Fimoscolex sporadochaetus","Minhoca-branca","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Fluminagrion taxaense","Libélula","Criticamente em Perigo (CR)"
"Fauna","Aves","Thamnophilidae","Formicivora erythronotos","Formigueiro-de-cabeça-negra","Criticamente em Perigo (CR)"
"Fauna","Aves","Thamnophilidae","Formicivora grantsaui","Papa-formiga-do-sincorá","Em Perigo (EN)"
"Fauna","Aves","Thamnophilidae","Formicivora littoralis","Formigueiro-do-litoral","Em Perigo (EN)"
"Fauna","Aves","Thamnophilidae","Formicivora paludicola","Bicudinho-do-brejo-paulista","Criticamente em Perigo (CR)"
